Index,Fuel Type Code,Street Address,State,Latitude,Longitude
11303,ELEC,4545 Viewridge Ave,CA,32.822918,-117.124015
11304,ELEC,700 Mount Sopris Dr,CO,39.50915211,-107.3175202
11305,ELEC,Skyline Dr Milepost 51,VA,38.518021,-78.436611
11306,ELEC,420 Remington Blvd,IL,41.682163,-88.084096
11307,ELEC,212 W Mulberry St,CO,40.581824,-105.079708
11308,CNG,5300 Richmond Rd,OH,41.417166,-81.501414
11309,ELEC,9409 Zane Ave N,MN,45.126087,-93.358431
11311,ELEC,203 N Main St,ME,44.787545,-69.380469
11312,ELEC,367 artists walk,IL,41.482352,-87.679954
11313,ELEC,1000 Rush Dr,CO,38.542959,-106.008655
11314,ELEC,645 Main St,CO,39.067005,-108.561516
11315,ELEC,528 W Race St,WV,39.461758,-77.96839
11316,ELEC,4328 William L Wilson Fwy,WV,39.316635,-77.766287
11317,ELEC,54922 Kernahan Rd E,WA,46.759919,-121.981984
11318,ELEC,3734 Pear St @ Apple Market,MO,39.732916,-94.801382
11320,CNG,2098 SW 6th St,OK,34.584172,-98.396813
11322,ELEC,1401 Surrey Street,LA,30.221529,-91.994253
11323,ELEC,252 S Dithridge St,PA,40.445941,-79.950381
11324,ELEC,Boundary St,PA,40.443722,-79.945012
11325,ELEC,200 Nohea Kai Dr,HI,20.912254,-156.690731
11326,ELEC,3375 Mitchell Ln,CO,40.036534,-105.242994
11327,ELEC,3080 Center Green Dr,CO,40.031973,-105.245526
11328,E85,750 15th Ave SE,MN,45.557407,-94.12921
11329,ELEC,225 Baker St NW,GA,33.763493,-84.395365
11330,E85,914 W Pickard St,MI,43.612859,-84.786743
11331,ELEC,801 Rainier Ave S,WA,47.595546,-122.31163
11332,ELEC,807 Rainier Ave S,WA,47.595392,-122.311507
11333,ELEC,402 S Main St,OR,45.234126,-120.184295
11334,ELEC,2370 Hwy 100 S,MN,44.960082,-93.34622
11335,CNG,1515 S Rock Island Ave,OK,35.514933,-97.948691
11336,ELEC,2261 Conway Avenue,MN,44.957044,-93.003109
11337,ELEC,277 Conway Ave,MN,44.957,-93.003123
11338,ELEC,638 Carlton St,MN,44.95987,-92.991728
11339,ELEC,120 N Church St,UT,41.733596,-111.8337
11340,LPG,110 Airport Rd,IA,42.000598,-93.610816
11341,ELEC,259 North St,MA,41.650698,-70.291173
11342,ELEC,825 Falmouth Rd,MA,41.659542,-70.316168
11343,ELEC,3225 Main St,MA,41.701265,-70.303409
11344,ELEC,1500 Locust St Level R,PA,39.94836,-75.166917
11345,CNG,1820 3rd Creek Rd,TN,35.966518,-83.991825
11346,ELEC,1101 Cumberland Ave,TN,35.95953,-83.924911
11347,ELEC,1350 Pat Head Summitt St,TN,35.951858,-83.9316
11348,ELEC,2402 Chapman Dr,TN,35.946202,-83.93878
11349,ELEC,501 S Tryon St,NC,35.224011,-80.847647
11350,ELEC,9512 South Blvd,NC,35.106994,-80.883287
11351,ELEC,1215 IN-49,IN,41.633613,-87.05474
11352,ELEC,1401 Bardstown Rd,KY,38.233387,-85.711472
11353,ELEC,2 E Ames St,VA,37.097728,-76.383423
11354,ELEC,278 Whites Bridge Rd,ME,43.827491,-70.482252
11355,ELEC,32 North St,ME,43.366883,-70.47525
11356,ELEC,271 State St,ME,44.785297,-68.752991
11357,ELEC,64 Balsam Dr,ME,45.656775,-68.686907
11358,ELEC,174 Lower Main St,ME,43.848238,-70.11331
11359,ELEC,1001 Airport Rd,TN,35.038042,-85.195795
11360,ELEC,601 E. Trade St.,NC,35.223157,-80.836819
11361,ELEC,520 S 3rd St,CO,39.395289,-107.209921
11362,ELEC,4205 Bessie Coleman Blvd,FL,27.982585,-82.53687
11363,ELEC,4000 George Bean Pkwy,FL,27.971237,-82.539312
11364,ELEC,5601 Airport Service Rd,FL,27.966583,-82.5359
11365,LPG,46 Highway 118,NM,35.50290341,-108.8484577
11366,ELEC,201 W Brick St,MO,37.021847,-93.205851
11367,ELEC,215 W Main St,MO,36.644467,-93.218605
11368,ELEC,14684 Aloma St,CA,35.617189,-119.656363
11369,ELEC,4848 N Portales Pl,AZ,33.508464,-111.929796
11370,ELEC,506 S Frederick Ave,MD,39.133751,-77.194851
11371,ELEC,80 Bureau Dr,MD,39.145447,-77.216592
11372,ELEC,12 S Summit Ave,MD,39.141152,-77.194237
11373,ELEC,Hickman Drive,TN,35.050309,-85.050405
11374,ELEC,171 Remington Blvd,NY,40.79009,-73.130392
11375,ELEC,10901 Scarlet Tanager Loop,MD,39.027187,-76.798668
11376,ELEC,1301 Canyon Blvd,CO,40.016538,-105.277527
11377,ELEC,1801 13th St,CO,40.016622,-105.278551
11378,E85,3650 3rd Ave NW,MN,44.060902,-92.468407
11379,E85,8300 N 42nd Ave,MN,45.033255,-93.384686
11380,E85,7120 10th St N,MN,44.963785,-92.96267
11381,E85,600 N Mantua St,OH,41.159103,-81.360416
11382,ELEC,1094 Randolph,MI,42.333694,-83.043548
11383,ELEC,159 Gratiot Ave,MI,42.334881,-83.047255
11384,ELEC,711 Beaubien St,MI,42.333239,-83.041969
11385,ELEC,220 Gratiot Ave,MI,42.334284,-83.046188
11386,ELEC,629 Bates St,MI,42.330768,-83.044749
11387,ELEC,964 3rd Ave,MI,42.328078,-83.055087
11388,ELEC,6522 Cass Ave,MI,42.369064,-83.074143
11389,ELEC,241 Ralph McGill Blvd NE,GA,33.763981,-84.380076
11390,ELEC,7331 N Sheridan Rd,IL,42.014848,-87.664015
11391,ELEC,2101 Adelbert Rd,OH,41.504852,-81.60522
11392,ELEC,2100 Circle Dr,OH,41.50704,-81.602392
11393,ELEC,2049 Cornell Rd,OH,41.507086,-81.604661
11394,ELEC,875 E Little Creek Rd,VA,36.914555,-76.247688
11395,ELEC,201 Tresser Blvd,CT,41.050287,-73.537175
11396,ELEC,13 N Jefferson St,IL,41.882368,-87.642179
11397,ELEC,175 Normal Rd,IL,41.932405,-88.766603
11398,LPG,207 E Magnolia St,FL,28.80992,-81.873413
11399,ELEC,2270 Highway 133,CO,39.387753,-107.203871
11400,ELEC,71 GSP Dr,VT,42.830486,-72.567863
11401,ELEC,24177 Tom Hodges Dr,MD,38.331636,-76.555135
11402,ELEC,100 Cottage Club Rd,VT,44.476692,-72.716069
11403,ELEC,1450 S Cooper Rd,AZ,33.284789,-111.807863
11404,ELEC,2702 S 200th St,WA,47.423319,-122.298723
11405,ELEC,2702 S 200th St,WA,47.42327,-122.298719
11406,LPG,3523 State Rd 127,IN,41.69532086,-84.99979652
11407,ELEC,141 Piedmont Ave NE,GA,33.757551,-84.381217
11408,ELEC,17221 East 23rd St S Central Utility Bldg,MO,39.076699,-94.374385
11409,ELEC,175 Piedmont Ave.,GA,33.759038,-84.380579
11410,ELEC,Piedmont Ave NE,GA,33.757569,-84.381199
11411,ELEC,1910 Eatonton Rd,GA,33.561063,-83.476565
11412,E85,6941 State Route 44,OH,41.179852,-81.246972
